WORD,WORDDEF
keen,having a sharp cutting edge or point
keep on,allow to remain in a place or position or maintain a property or feature
ken,the range of vision
kindle,catch fire
kindred,related by blood or marriage
kinetic,characterized by motion
kingdom,a monarchy with a king or queen as head of state
kinship,a close connection marked by community of interests or similarity in nature or character
kiosk,small area set off by walls for special use
kismet,(Islam) the will of Allah
kith,your friends and acquaintances
kleptomaniac,someone with an irrational urge to steal in the absence of an economic motive
knavery,"lack of honesty, acts of lying or cheating or stealing"
knead,make uniform
knell,ring as in announcing death
knoll,a small natural hill
labile,(chemistry physics biology) readily undergoing change or breakdown
laborious,"characterized by effort to the point of exhaustion, especially physical effort"
labyrinth,"a complex system of interconnecting cavities, concerned with hearing and equilibrium"
lacerate,having edges that are jagged from injury
lachrymose,showing sorrow
lackadaisical,lacking spirit or liveliness
lackey,a person who tries to please someone in order to gain a personal advantage
lackluster,lacking luster or shine
laconic,"brief and to the point, effectively cut short"
lag,"hang (back) or fall (behind) in movement, progress, development, etc."
laggard,"someone who takes more time than necessary, someone who lags behind"
lagniappe,a small gift (especially one given by a merchant to a customer who makes a purchase)
lagoon,a body of water cut off from a larger body by a reef of sand or coral
laity,in Christianity members of a religious community that do not have the priestly responsibilities of ordained clergy
lambaste,beat with a cane
lambent,softly bright or radiant
lament,"a mournful poem, a lament for the dead"
laminated,Composed of layers bonded together.
lampoon,ridicule with satire
languid,lacking spirit or liveliness
languish,"lose vigor, health, or flesh, as through grief"
languor,a relaxed comfortable feeling
lank,long and thin and often limp
lanky,tall and thin and having long slender limbs
lapidary,of or relating to precious stones or the art of working with them
larceny,the act of taking something from someone unlawfully
largess,"a gift or money given (as for service or out of benevolence), usually given ostentatiously"
lascivious,"driven by lust, preoccupied with or exhibiting lustful desires"
lassitude,a feeling of lack of interest or energy
latency,the time that elapses between a stimulus and the response to it
latent,potentially existing but not presently evident or realized
lateral,situated at or extending to the side
latitude,an imaginary line around the Earth parallel to the equator
laud,"praise, glorify, or honor"
laudable,worthy of high praise
laudatory,full of or giving praise
lave,wash one's face and hands
lavish,"expend profusely, also used with abstract nouns"
lax,"pronounced with muscles of the tongue and jaw relatively relaxed (e.g., the vowel sound in `bet')"
lay aside,accumulate money for future use
layman,someone who is not a clergyman or a professional person
leaven,an influence that works subtly to lighten or modify something
lecherous,given to excessive indulgence in sexual activity
lechery,unrestrained indulgence in sexual activity
lectern,desk or stand with a slanted top used to hold a text at the proper height for a lecturer
leeway,"a permissible difference, allowing some freedom to move within limits"
legacy,(law) a gift of personal property by will
legend,brief description accompanying an illustration
legendary,celebrated in fable or legend
legerdemain,"an illusory feat, considered magical by naive observers"
legible,"(of handwriting, print, etc.) capable of being read or deciphered"
legislature,persons who make or amend or repeal laws
legitimate,show or affirm to be just and legitimate
leisure,freedom to choose a pastime or enjoyable activity
leisurely,in an unhurried way or at one's convenience
lengthen,become long or longer
leniency,a disposition to yield to the wishes of someone
leonine,of or characteristic of or resembling a lion
lesion,an injury to living tissue (especially an injury involving a cut or break in the skin)
lethal,of an instrument of certain death
lethargic,deficient in alertness or activity
lethargy,a state of comatose torpor (as found in sleeping sickness)
levee,a pier that provides a landing place on a river
levity,a manner lacking seriousness
levy,"To impose or collect (a tax, for example)."
lewd,"driven by lust, preoccupied with or exhibiting lustful desires"
lexicographer,"a compiler or writer of a dictionary, a student of the lexical component of language"
lexicon,a reference book containing an alphabetical list of words with information about them
liability,the quality of being something that holds you back
liaison,a usually secretive or illicit sexual relationship
libation,a serving (of wine) poured out in honor of a deity
libel,the written statement of a plaintiff explaining the cause of action (the defamation) and any relief he seeks
libelous,"(used of statements) harmful and often untrue, tending to discredit or malign"
libertine,unrestrained by convention or morality
libidinous,"driven by lust, preoccupied with or exhibiting lustful desires"
libido,(psychoanalysis) a Freudian term for sexual urge or desire
libretto,the words of an opera or musical play
licentious,"lacking moral discipline, especially sexually unrestrained"
lid,"headdress that protects the head from bad weather, has shaped crown and usually a brim"
lieu,the post or function properly or customarily occupied or served by another
lift,a wave that lifts the surface of the water or ground
light,less than the correct or legal or full amount often deliberately so
ligneous,consisting of or containing lignin or xylem
lilliputian,A very small person or being
limb,(astronomy) the circumferential edge of the apparent disc of the sun or the moon or a planet
limber,(used of e.g. personality traits) readily adaptable
limbo,an imaginary place for lost or neglected things
limn,make a portrait of
limp,not firm
limpid,clear and bright
lineage,the number of lines in a piece of printed material
lineaments,Plural form of lineament
linguistic,consisting of or related to language
lionize,assign great social importance to
liquidate,convert into cash
lissom,moving and bending with ease
list,a database containing an ordered array of items (names or topics)
listless,"marked by low spirits, showing no enthusiasm"
litany,a prayer consisting of a series of invocations by the priest with responses from the congregation
literate,a person who can read and write
lithe,moving and bending with ease
litigate,engage in legal proceedings
litigation,"a legal proceeding in a court, a judicial contest to determine and enforce legal rights"
litotes,understatement for rhetorical effect (especially when expressing an affirmative by negating its contrary)
litter,conveyance consisting of a chair or bed carried on two poles by bearers
lively,"elastic, rebounds readily"
livid,discolored by coagulation of blood beneath the skin
loafer,"a low leather step-in shoe, the top resembles a moccasin but it has a broad flat heel"
loath,unwillingness to do something contrary to your custom
loathe,find repugnant
lobby,"detain in conversation by or as if by holding on to the outer garments of, as for political or economic favors"
lode,a deposit of valuable ore occurring within definite boundaries separating it from surrounding rocks
lofty,"of imposing height, especially standing out above others"
logical,capable of thinking and expressing yourself in a clear and consistent manner
logician,a person skilled at symbolic logic
logomachy,argument about words or the meaning of words
loiter,be about
loll,hang loosely or laxly
longevity,the property of being long-lived
longitude,the angular distance between a point on any meridian and the prime meridian at Greenwich
look up to,feel admiration for
loot,informal terms for money
lope,a slow pace of running
loquacious,full of trivial conversation
lout,an awkward stupid person
loutish,ill-mannered and coarse and contemptible in behavior or appearance
lubricity,feeling morbid sexual desire or a propensity to lewdness
lucent,softly bright or radiant
lucid,"(of language) transparently clear, easily understandable"
lucrative,producing a sizeable profit
lucre,the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)
lucubration,a solemn literary work that is the product of laborious cogitation
ludicrous,"incongruous,inviting ridicule"
lugubrious,excessively mournful
lull,make calm or still
lullaby,the act of singing a quiet song to lull a child to sleep
lumber,"cut lumber, as in woods and forests"
luminous,softly bright or radiant
lunar,of or relating to or associated with the moon
lupine,of or relating to or characteristic of wolves
lurid,horrible in fierceness or savagery
luscious,extremely pleasing to the sense of taste
luster,a quality that outshines the usual
lustrous,brilliant
luxuriant,marked by complexity and richness of detail
lyrical,suitable for or suggestive of singing
macabre,"shockingly repellent, inspiring horror"
macerate,become soft or separate and disintegrate as a result of excessive soaking
machination,a crafty and involved plot to achieve your (usually sinister) ends
machinations,Plural form of machination
macrobiotics,the theory of promoting health and longevity by means of diet (especially whole beans and grains)
macrocosm,everything that exists anywhere
macroeconomics,the branch of economics that studies the overall working of a national economy
macron,a diacritical mark (-) placed above a vowel to indicate a long sound
macroscopic,"visible to the naked eye, using the naked eye"
maculate,spotted or blotched
madrigal,"an unaccompanied partsong for 2 or 3 voices, follows a strict poetic form"
maelstrom,a powerful circular current of water (usually the result of conflicting tides)
magician,someone who performs magic tricks to amuse an audience
magnanimity,"liberality in bestowing gifts, extremely liberal and generous of spirit"
magnanimous,noble and generous in spirit
magnate,a very wealthy or powerful businessman
magniloquent,lofty in style
magnitude,the property of relative size or extent (whether large or small)
maim,injure or wound seriously and leave permanent disfiguration or mutilation
make fun of,"To tease, ridicule or make jokes about, generally in a pejorative manner."
maladjusted,not well adjusted
maladroit,not adroit
malady,any unwholesome or desperate condition
malaise,physical discomfort (as mild sickness or depression)
malapropism,the unintentional misuse of a word by confusion with one that sounds similar
malcontent,discontented as toward authority
malediction,the act of calling down a curse that invokes evil (and usually serves as an insult)
malefactor,someone who has committed a crime or has been legally convicted of a crime
maleficent,harmful or evil in intent or effect
malevolent,having or exerting a malignant influence
malfeasance,wrongful conduct by a public official
malformation,something abnormal or anomalous
malfunction,fail to function or function improperly
malice,feeling a need to see others suffer
malicious,having the nature of or resulting from malice
malign,having or exerting a malignant influence
malignant,"dangerous to health, characterized by progressive and uncontrolled growth (especially of a tumor)"
malinger,"avoid responsibilities and duties, e.g., by pretending to be ill"
malingerer,someone shirking their duty by feigning illness or incapacity
mall,a public area set aside as a pedestrian walk
malleable,capable of being shaped or bent or drawn out
malnutrition,"a state of poor nutrition, can result from insufficient or excessive or unbalanced diet or from inability to absorb foods"
malodorous,having an unpleasant smell
malpractice,"a wrongful act that the actor had no right to do, improper professional conduct"
maltreat,treat badly
mammal,"any warm-blooded vertebrate having the skin more or less covered with hair, young are born alive except for the small subclass of monotremes and nourished with milk"
mammoth,so exceedingly large or extensive as to suggest a giant or mammoth
manacle,"shackle that consists of a metal loop that can be locked around the wrist, usually used in pairs"
mandate,a document giving an official instruction or command
mandatory,required by rule
mangy,having many worn or threadbare spots in the nap
mania,"a mood disorder, an affective disorder in which the victim tends to respond excessively and sometimes violently"
maniacal,wildly disordered
manifest,record in a ship's manifest
manifestation,an appearance in bodily form (as of a disembodied spirit)
manifesto,a public declaration of intentions (as issued by a political party or government)
manifold,combine or increase by multiplication
manipulate,hold something in one's hands and move it
manipulative,skillful in influencing or controlling others to your own advantage
mannered,having unnatural mannerisms
mansion,(astrology) one of 12 equal areas into which the zodiac is divided
manumit,free from slavery or servitude
marauder,someone who attacks in search of booty
mare,female equine animal
margin,the amount of collateral a customer deposits with a broker when borrowing from the broker to buy securities
marginal,of questionable or minimal quality
marital,of or relating to the state of marriage
maritime,relating to or involving ships or shipping or navigation or seamen
marred,blemished by injury or rough wear
marrow,any of various squash plants grown for their elongated fruit with smooth dark green skin and whitish flesh
marshal,make ready for action or use
marsupial,of or relating to the marsupials
martial,suggesting war or military life
martinet,someone who demands exact conformity to rules and forms
martyr,one who voluntarily suffers death as the penalty for refusing to renounce their religion
martyrdom,any experience that causes intense suffering
masculine,associated with men and not with women
masochist,someone who obtains pleasure from receiving punishment
massive,being the same substance throughout
masticate,grind and knead
materialistic,marked by materialism
maternal,relating to or characteristic of or befitting a parent
matriarch,a feisty older woman with a big bosom (as drawn in cartoons)
matricide,a person who murders their mother
matriculate,enroll as a student
matrix,"(mathematics) a rectangular array of quantities or expressions set out by rows and columns, treated as a single element and manipulated according to rules"
maudlin,effusively or insincerely emotional
maunder,wander aimlessly
mausoleum,"a large burial chamber, usually above ground"
mauve,a moderate purple
maverick,someone who exhibits great independence in thought and action
mawkish,effusively or insincerely emotional
maxim,English inventor (born in the United States) who invented the Maxim gun that was used in World War I (1840-1916)
mayhem,violent and needless disturbance
meager,deficient in amount or quality or extent
meander,"to move or cause to move in a sinuous, spiral, or circular course"
meddle,"intrude in other people's affairs or business, interfere unwantedly"
meddlesome,intrusive in a meddling or offensive manner
mediate,occupy an intermediate or middle position or form a connecting link or stage between two others
mediocre,lacking exceptional quality or ability
meditation,continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature
medium,an occupation for which you are especially well suited
medley,a musical composition consisting of a series of songs or other musical pieces from various sources
megalomania,a psychological state characterized by delusions of grandeur
melancholy,a feeling of thoughtful sadness
melange,A collection containing a variety of miscellaneous things
melee,Confused hand-to-hand fighting in a pitched battle.
mellifluous,pleasing to the ear
memento,a reminder of past events
memorialize,be or provide a memorial to a person or an event
menace,"pose a threat to, present a danger to"
menagerie,a collection of live animals for study or display
mend,restore by replacing a part or putting together what is torn or broken
mendacious,intentionally untrue
mendacity,the tendency to be untruthful
mendicant,practicing beggary
menial,used of unskilled work (especially domestic work)
mentor,serve as a teacher or trusted counselor
mercantile,relating to or characteristic of trade or traders
mercenary,serving for wages in a foreign army
mercurial,relating to or under the (astrological) influence of the planet Mercury
meretricious,"based on pretense, deceptively pleasing"
merger,the combination of two or more commercial companies
meringue,sweet topping especially for pies made of beaten egg whites and sugar
meritorious,deserving reward or praise
mesa,"A broad, flat-topped elevation with one or more clifflike sides, common in the southwest United States."
mesmerize,induce hypnosis in
metabolism,the organic processes (in a cell or organism) that are necessary for life
metallurgical,of or relating to metallurgy
metamorphose,change in outward structure or looks
metamorphosis,a complete change of physical form or substance especially as by magic or witchcraft
metaphor,a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity
metaphysical,highly abstract and overly theoretical
metaphysics,the philosophical study of being and knowing
mete,a line that indicates a boundary
meteor,(astronomy) any of the small solid extraterrestrial bodies that hits the earth's atmosphere
meteoric,"of or pertaining to atmospheric phenomena, especially weather and weather conditions"
meteorology,predicting what the weather will be
methodical,characterized by method and orderliness
methodology,the branch of philosophy that analyzes the principles and procedures of inquiry in a particular discipline
meticulous,marked by precise accordance with details
metropolis,people living in a large densely populated municipality
mettle,the courage to carry on
mews,street lined with buildings that were originally private stables but have been remodeled as dwellings
miasma,unhealthy vapors rising from the ground or other sources
microbe,"a minute life form (especially a disease-causing bacterium), the term is not in technical use"
microcosm,a miniature model of something
microeconomics,the branch of economics that studies the economy of consumers or households or individual firms
micrometer,a metric unit of length equal to one millionth of a meter
microorganism,any organism of microscopic size
microscopic,extremely precise with great attention to details
mien,dignified manner or conduct
migrant,habitually moving from place to place especially in search of seasonal work
migrate,move from one country or region to another and settle there
migratory,habitually moving from place to place especially in search of seasonal work
milieu,the environmental condition
militant,disposed to warfare or hard-line policies
militate,"have force or influence, bring about an effect or change"
millennium,"(New Testament) in Revelations it is foretold that those faithful to Jesus will reign with Jesus over the earth for a thousand years, the meaning of these words have been much debated, some denominations (e.g. Jehovah's Witnesses) expect it to be a thousand years of justice and peace and happiness"
mimic,constituting an imitation
mimicry,"the resemblance of an animal species to another species or to natural objects, provides concealment and protection from predators"
minaret,slender tower with balconies
minatory,threatening or foreshadowing evil or tragic developments
mincing,affectedly dainty or refined
mingle,to bring or combine together or with something else
minimize,represent as less significant or important
minion,a servile or fawning dependant
minuscule,a small cursive script developed from uncial between the 7th and 9th centuries and used in medieval manuscripts
minute,a unit of time equal to 60 seconds or 1/60th of an hour
mirage,an optical illusion in which atmospheric refraction by a layer of hot air distorts or inverts reflections of distant objects
mire,deep soft mud in water or slush
mirth,great merriment
misadventure,an instance of misfortune
misanthrope,someone who dislikes people in general
misanthropic,"believing the worst of human nature and motives, having a sneering disbelief in e.g. selflessness of others"
misanthropy,a disposition to dislike and mistrust other people
misapprehend,interpret in the wrong way
misapprehension,an understanding of something that is not correct
miscarry,suffer a miscarriage
miscegenation,reproduction by parents of different races (especially by white and non-white persons)
miscellany,a collection containing a variety of sorts of things
mischance,an instance of misfortune
mischief,reckless or malicious behavior that causes discomfort or annoyance in others
mischievous,deliberately causing harm or damage
misconstruction,a kind of misinterpretation resulting from putting a wrong construction on words or actions (often deliberately)
misconstrue,interpret in the wrong way
miscreant,a person without moral scruples
misdemeanor,a crime less serious than a felony
miserly,(used of persons or behavior) characterized by or indicative of lack of generosity
misfit,someone unable to adapt to their circumstances
misgiving,painful expectation
misgivings,Plural form of doubt|Doubt
mishap,an instance of misfortune
mislead,give false or misleading information to
misnomer,an incorrect or unsuitable name
misogamy,hatred of marriage
misogynist,a misanthrope who dislikes women in particular
misogyny,hatred of women
misology,hatred of reasoning
misrepresent,"tamper, with the purpose of deception"
missile,a weapon that is forcibly thrown or projected at a targets but is not self-propelled
missive,a written message addressed to a person or organization
mistrust,the trait of not trusting others
mite,a slight but appreciable amount
mitigate,make less severe or harsh
mnemonic,a device (such as a rhyme or acronym) used to aid recall
mobile,moving or capable of moving readily (especially from place to place)
mode,a particular functioning condition or arrangement
modicum,a small or moderate or token amount
modify,add a modifier to a constituent
modish,in the current fashion or style
modulate,"vary the frequency, amplitude, phase, or other characteristic of (electromagnetic waves)"
modulation,"(electronics) the transmission of a signal by using it to vary a carrier wave, changing the carrier's amplitude or frequency or phase"
mogul,a very wealthy or powerful businessman
moiety,one of two basic subdivisions of a tribe
molecule,(nontechnical usage) a tiny piece of anything
molest,"harass or assault sexually, make indecent advances to"
mollify,"make more temperate, acceptable, or suitable by adding something else, moderate"
mollycoddle,"a pampered darling, an effeminate man"
molt,"cast off hair, skin, horn, or feathers"
molten,reduced to liquid form by heating
momentous,of very great significance
momentum,an impelling force or strength
monarch,"large migratory American butterfly having deep orange wings with black and white markings, the larvae feed on milkweed"
monarchist,an advocate of the principles of monarchy
monarchy,an autocracy governed by a monarch who usually inherits the authority
monastery,the residence of a religious community
monastic,a male religious living in a cloister and devoting himself to contemplation and prayer and work
monetary,relating to or involving money
monocle,"lens for correcting defective vision in one eye, held in place by facial muscles"
monogamy,having only one spouse at a time
monograph,a detailed and documented treatise on a particular subject
monolith,a single great stone (often in the form of a column or obelisk)
monolithic,characterized by massiveness and rigidity and total uniformity
monologue,a (usually long) dramatic speech by a single actor
monomania,a mania restricted to one thing or idea
monomaniac,a person suffering from monomania
monoplane,an airplane with a single wing
monopolize,have and control fully and exclusively
monopoly,(economics) a market in which there are many buyers but only one seller
monosyllable,a word or utterance of one syllable
monotheism,belief in a single God
monotone,"of a sequence or function, consistently increasing and never decreasing or consistently decreasing and never increasing in value"
monotonous,tediously repetitious or lacking in variety
monotony,"the quality of wearisome constancy, routine, and lack of variety"
monstrous,shockingly brutal or cruel
monumental,imposing in size or bulk or solidity
moodiness,a sullen gloomy feeling
moor,secure with cables or ropes
moot,a hypothetical case that law students argue as an exercise
moratorium,a legally authorized postponement before some obligation must be discharged
morbid,suggesting the horror of death and decay
mordant,harshly ironic or sinister
more,(comparative of `many' used with count nouns) quantifier meaning greater in number
mores,(sociology) the conventions that embody the fundamental values of a group
morganatic,"(of marriages) of a marriage between one of royal or noble birth and one of lower rank, valid but with the understanding that the rank of the inferior remains unchanged and offspring do not succeed to titles or property of the superior"
moribund,"being on the point of death, breathing your last"
moron,"a city in Argentina, to the west of Buenos Aires"
morose,showing a brooding ill humor
morsel,a small quantity of anything
mortal,subject to death
mortician,one whose business is the management of funerals
mortify,hold within limits and control
mote,(nontechnical usage) a tiny piece of anything
motif,a unifying idea that is a recurrent element in literary or artistic work
motility,a change of position that does not entail a change of location
motivate,give an incentive for action
motley,consisting of a haphazard assortment of different kinds
mottled,having spots or patches of color
mountebank,"a flamboyant deceiver, one who attracts customers with tricks or jokes"
muddle,make into a puddle
muggy,hot or warm and humid
mugwump,a neutral or uncommitted person (especially in politics)
mulct,impose a fine on
multicellular,consisting of many cells
multifarious,having many aspects
multiform,occurring in or having many forms or shapes or appearances
multilateral,having many parts or sides
multilingual,using or knowing more than one language
multimillionaire,One whose financial assets are worth several million dollars.
multiplicity,the property of being multiple
multiply,combine by multiplication
multitude,the common people generally
mumble,"talk indistinctly, usually in a low voice"
munch,a large bite
mundane,concerned with the world or worldly matters
municipal,of or relating to the government of a municipality
munificent,very generous
murkiness,an atmosphere in which visibility is reduced because of a cloud of some substance
murrain,any disease of domestic animals that resembles a plague
muse,the source of an artist's inspiration
musician,artist who composes or conducts music as a profession
musky,resembling the smell of musk
muster,a gathering of military personnel for duty
muster up,gather or bring together
musty,stale and unclean smelling
mutable,capable of or tending to change in form or quality or nature
muted,in a softened tone
mutilate,alter so as to make unrecognizable
mutinous,consisting of or characterized by or inciting to mutiny
mutter,"talk indistinctly, usually in a low voice"
mutual,common to or shared by two or more parties
myopia,"(ophthalmology) eyesight abnormality resulting from the eye's faulty refractive ability, distant objects appear blurred"
myopic,unable to see distant objects clearly
myriad,a large indefinite number
mystic,"having an import not apparent to the senses nor obvious to the intelligence, beyond ordinary understanding"
nadir,the point below the observer that is directly opposite the zenith on the imaginary sphere against which celestial bodies appear to be projected
naivete,alternative spelling of naïveté.
narcissism,an exceptional interest in and admiration for yourself
narcissist,someone in love with themselves
narcissistic,characteristic of those having an inflated idea of their own importance
nascent,being born or beginning
nasty,"disgustingly dirty, filled or smeared with offensive matter"
natal,a port city in northeastern Brazil
natation,the act of someone who floats on the water
natty,marked by up-to-dateness in dress and manners
naturalist,an advocate of the doctrine that the world can be understood in scientific terms
nauseate,"cause aversion in, offend the moral sense of"
nautical,relating to or involving ships or shipping or navigation or seamen
nave,the central area of a church
neap,a less than average tide occurring at the first and third quarters of the moon
nebulous,lacking definite form or limits
necrology,"a notice of someone's death, usually includes a short biography"
necromancy,the belief in magical spells that harness occult forces or evil spirits to produce unnatural effects in the world
nefarious,extremely wicked
negation,"a negative statement, a statement that is a refusal or denial of some other statement"
negligence,failure to act with the prudence that a reasonable person would exercise under the same circumstances
negligent,characterized by neglect and undue lack of concern
negligible,"so small as to be meaningless, insignificant"
nemesis,(Greek mythology) the goddess of divine retribution and vengeance
neocolonialism,control by a powerful country of its former colonies (or other less developed countries) by economic pressures
neolithic,hopelessly outdated
neologism,a newly invented word or phrase
neon,"a colorless odorless gaseous element that give a red glow in a vacuum tube, one of the six inert gasses, occurs in the air in small amounts"
neophyte,a new convert being taught the principles of Christianity by a catechist
nepotism,favoritism shown to relatives or close friends by those in power (as by giving them jobs)
nestling,young bird not yet fledged
nether,located below or beneath something else
nettle,any of numerous plants having stinging hairs that cause skin irritation on contact (especially of the genus Urtica or family Urticaceae)
nexus,a connected series or group
nib,horny projecting mouth of a bird
nice,"socially or conventionally correct, refined or virtuous"
nicety,conformity with some esthetic standard of correctness or propriety
nicotine,"an alkaloid poison that occurs in tobacco, used in medicine and as an insecticide"
niggardly,petty or reluctant in giving or spending
niggle,argue over petty things
nihilism,"the delusion that things (or everything, including the self) do not exist, a sense that everything is unreal"
nirvana,"(Hinduism and Buddhism) the beatitude that transcends the cycle of reincarnation, characterized by the extinction of desire and suffering and individual consciousness"
nocturnal,belonging to or active during the night
noisome,offensively malodorous
nomadic,migratory
nomenclature,a system of words used to name things in a particular discipline
nominal,relating to or constituting or bearing or giving a name
nominee,a politician who is running for public office
nonage,any age prior to the legal age
nonaggression,a policy of not initiating hostilities
nonchalance,"the trait of remaining calm and seeming not to care, a casual lack of concern"
nonchalant,marked by blithe unconcern
noncommittal,refusing to bind oneself to a particular course of action or view or the like
nondescript,"lacking distinct or individual characteristics, dull and uninteresting"
nonentity,a person of no influence
nonesuch,"model of excellence or perfection of a kind, one having no equal"
nonpareil,"model of excellence or perfection of a kind, one having no equal"
nonplus,be a mystery or bewildering to
nonresident,not living in a particular place or owned by permanent residents
nonsense,having no intelligible meaning
nosegay,an arrangement of flowers that is usually given as a present
nostalgia,longing for something past
nostalgic,unhappy about being away and longing for familiar things or persons
nostrum,"hypothetical remedy for all ills or diseases, once sought by the alchemists"
notable,worthy of notice
notorious,known widely and usually unfavorably
novel,"an extended fictional work in prose, usually in the form of a story"
novelty,originality by virtue of being refreshingly novel
novice,someone new to a field or activity
noxious,injurious to physical or mental health
nuance,a subtle difference in meaning or opinion or attitude
nubile,of girls or women who are eligible to marry
nucleate,having a nucleus or occurring in the nucleus
nugatory,of no real value
nullify,show to be invalid
numb,"so frightened as to be unable to move, stunned or paralyzed with terror, petrified"
numismatist,a collector and student of money (and coins in particular)
nuptial,of or relating to a wedding
nurture,provide with nourishment
nutrient,any substance that can be metabolized by an animal to give energy and build tissue
oaf,an awkward stupid person
oasis,a shelter serving as a place of safety or sanctuary
obdurate,stubbornly persistent in wrongdoing
obedience,behavior intended to please your parents
obedient,dutifully complying with the commands or instructions of those in authority
obeisance,"the act of obeying, dutiful or submissive behavior with respect to another person"
obelisk,a character used in printing to indicate a cross reference or footnote
obese,excessively fat
obfuscate,make obscure or unclear
obituary,"a notice of someone's death, usually includes a short biography"
objection,"the act of protesting, a public (often organized) manifestation of dissent"
objective,"undistorted by emotion or personal bias, based on observable phenomena"
objurgate,express strong disapproval of
objurgation,rebuking a person harshly
oblation,the act of contributing to the funds of a church or charity
obligate,force somebody to do something
obligatory,required by obligation or compulsion or convention
oblique,any grammatical case other than the nominative
obliquity,the presentation during labor of the head of the fetus at an abnormal angle
obliterate,reduced to nothingness
oblivion,total forgetfulness
oblivious,(followed by `to' or `of') lacking conscious awareness of
oblong,a plane figure that deviates from a square or circle due to elongation
obloquy,state of disgrace resulting from public abuse
obnoxious,causing disapproval or protest
obscene,designed to incite to indecency or lust
obscure,make obscure or unclear
obsequious,attentive in an ingratiating or servile manner
observance,the act of noticing or paying attention
obsession,an unhealthy and compulsive preoccupation with something or someone
obsidian,"acid or granitic glass formed by the rapid cooling of lava without crystallization, usually dark, but transparent in thin pieces"
obsolete,no longer in use
obstetrician,a physician specializing in obstetrics
obstinacy,the trait of being difficult to handle or overcome
obstinate,resistant to guidance or discipline
obstreperous,noisily and stubbornly defiant
obstruct,hinder or prevent the progress or accomplishment of
obtrude,thrust oneself in as if by force
obtrusive,undesirably noticeable
obtuse,"slow to learn or understand, lacking intellectual acuity"
obviate,do away with
occlude,block passage through
occluded,(of a substance) taken into and retained in another substance
occult,supernatural forces and events and beings collectively
octagon,an eight-sided polygon
octane,any isomeric saturated hydrocarbon found in petroleum and used as a fuel and solvent
octave,a feast day and the seven days following it
octogenarian,someone whose age is in the eighties
octopus,tentacles of octopus prepared as food
oculist,a person skilled in testing for defects of vision in order to prescribe corrective glasses
odious,unequivocally detestable
odium,hate coupled with disgust
odoriferous,having a natural fragrance
odorous,having a natural fragrance
odyssey,a Greek epic poem (attributed to Homer) describing the journey of Odysseus after the fall of Troy
off-key,inaccurate in pitch
offal,viscera and trimmings of a butchered animal often considered inedible by humans
offertory,the offerings of the congregation at a religious service
offhand,without preparation
officiate,"act in an official capacity in a ceremony or religious ritual, such as a wedding"
officious,intrusive in a meddling or offensive manner
ogle,look at with amorous intentions
olfactory,of or relating to olfaction
oligarchy,a political system governed by a few people
ominous,presaging ill fortune
omit,prevent from being included or considered or accepted
omnibus,"a vehicle carrying many passengers, used for public transport"
omnipotent,having unlimited power
omnipresent,being present everywhere at once
omniscient,infinitely wise
omnivorous,feeding on both plants and animals
onerous,"not easily borne, wearing"
onomatopoeia,using words that imitate the sound they denote
onslaught,the rapid and continuous delivery of linguistic communication (spoken or written)
ontology,(computer science) a rigorous and exhaustive organization of some knowledge domain that is usually hierarchical and contains all the relevant entities and their relations
onus,an onerous or difficult concern
opalescent,having a play of lustrous rainbow colors
opaque,not clearly understood or expressed
opaqueness,incomprehensibility resulting from obscurity of meaning
opiate,a narcotic drug that contains opium or an opium derivative
opportune,suitable or at a time that is suitable or advantageous especially for a particular purpose
opportunist,"taking immediate advantage, often unethically, of any circumstance of possible benefit"
oppress,cause to suffer
opprobrious,expressing offensive reproach
opprobrium,state of disgrace resulting from public abuse
optician,a worker who makes glasses for remedying defects of vision
optimist,a person disposed to take a favorable view of things
optimum,most favorable conditions or greatest degree or amount possible under given circumstances
optional,"possible but not necessary, left to personal choice"
optometrist,a person skilled in testing for defects of vision in order to prescribe corrective glasses
opulence,wealth as evidenced by sumptuous living
opulent,rich and superior in quality
opus,a musical work that has been created
oracle,an authoritative person who divines the future
oracular,of or relating to an oracle
oration,an instance of oratory
oratorio,a musical composition for voices and orchestra based on a religious text
orchard,garden consisting of a small cultivated wood without undergrowth
ordeal,a severe or trying experience
ordinance,an authoritative rule
orient,be oriented
orientation,position or alignment relative to points of the compass or other specific directions
orifice,an aperture or hole that opens into a bodily cavity
orison,reverent petition to a deity
ornate,marked by elaborate rhetoric and elaborated with decorative details
ornithologist,a zoologist who studies birds
ornithology,the branch of zoology that studies birds
orotund,(of sounds) full and rich
orthodox,adhering to what is commonly accepted
orthography,a method of representing the sounds of a language by written or printed symbols
oscillate,"be undecided about something, waver between conflicting positions or courses of action"
osmosis,"(biology, chemistry) diffusion of molecules through a semipermeable membrane from a place of higher concentration to a place of lower concentration until the concentration on both sides is equal"
ossify,make rigid and set into a conventional pattern
ostensible,appearing as such but not necessarily so
ostentation,a gaudy outward display
ostentatious,intended to attract notice and impress others
ostracize,avoid speaking to or dealing with
oust,remove and replace
outbreak,a sudden violent spontaneous occurrence (usually of some undesirable condition)
outburst,an unrestrained expression of emotion
outcome,a phenomenon that follows and is caused by some previous phenomenon
